"Series Key",ELEC.GEN.COW-US-99.M,"Series Key",ELEC.GEN.NG-US-99.M,"Series Key",ELEC.GEN.NUC-US-99.M,"Series Key",ELEC.GEN.HYC-US-99.M,"Series Key",ELEC.GEN.WND-US-99.M
"Series Name","Net generation : coal : United States : all sectors : monthly","Series Name","Net generation : natural gas : United States : all sectors : monthly","Series Name","Net generation : nuclear : United States : all sectors : monthly","Series Name","Net generation : conventional hydroelectric : United States : all sectors : monthly","Series Name","Net generation : wind : United States : all sectors : monthly"
Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours"
Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M
"Start Date",200101,"Start Date",200101,"Start Date",200101,"Start Date",200101,"Start Date",200101
"End Date",202009,"End Date",202009,"End Date",202009,"End Date",202009,"End Date",202009
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

200403,154288.41916,200403,49801.1869,200403,63285.116,200403,22914.28123,200403,1291.224
200402,161503.09216,200402,50319.87478,200402,64101.949,200402,20913.61671,200402,1021.56897
200401,180657.42054,200401,48253.37213,200401,70806.16,200401,22983.30588,200401,999.44521
200312,176291.473,200312,44034.895,200312,68611.699,200312,24044.33,200312,1104.881
200311,158223.194,200311,45327.919,200311,59600.02,200311,19715.265,200311,961.432
200310,159322.942,200310,51824.169,200310,60016.207,200310,18428.423,200310,897.161
200309,164910.002,200309,59089.943,200309,63583.645,200309,18480.455,200309,895.054
200308,185331.823,200308,83249.694,200308,69023.878,200308,22972.03,200308,815.429
200307,181852.318,200307,76938.278,200307,69652.754,200307,24843.095,200307,953.396
200306,162284.63,200306,54452.951,200306,64180.727,200306,28586.3,200306,1047.144
200305,150262.977,200305,49372.963,200305,62201.96,200305,29395.256,200305,1006.383
200304,141959.981,200304,45195.383,200304,56775.591,200304,24758.962,200304,1092.766
200303,155001.775,200303,46699.026,200303,59933.261,200303,24202.273,200303,1036.104
200302,156982.481,200302,43546.573,200302,60941.869,200302,19779.86,200302,745.375
200301,181313.153,200301,50175.746,200301,69211.084,200301,20600.079,200301,632.34
200212,172189.765,200212,46100.393,200212,68905.472,200212,21668.54,200212,755.194
200211,156053.655,200211,45160.876,200211,61520.324,200211,19730.029,200211,655.946
200210,159099.294,200210,54200.82,200210,60493.052,200210,17171.334,200210,734.355
200209,165366.309,200209,68161.131,200209,64480.79,200209,17086.782,200209,735.828
200208,179955.447,200208,84476.867,200208,70777.688,200208,21083.924,200208,976.691
200207,183194.702,200207,83917.269,200207,70420.827,200207,25470.647,200207,890.455
200206,164667.695,200206,65631.018,200206,66371.896,200206,28212.847,200206,1126.315
200205,151406.401,200205,50275.237,200205,63032.192,200205,26662.695,200205,1077.641
200204,142304.595,200204,49146.409,200204,58437.062,200204,24246.605,200204,1024.417
200203,151485.651,200203,51214.464,200203,63040.647,200203,21008.813,200203,852.102
200202,143048.822,200202,44308.431,200202,61658.274,200202,20191.683,200202,713.932
200201,164358.018,200201,48412.832,200201,70925.863,200201,21794.932,200201,811.402
